1239 10405|mkc-us
174 2914|fra-de,lon-gb
174 29518|sto-se
174 29607|osl-no
174 30028|yto-ca
174 30736|fra-de,cph-dk
174 30737|osl-no
174 30798|hel-fi
174 30919|par-fr
174 30950|osl-no
174 31229|waw-pl
174 31510|vie-at
174 31641|dub-ie
174 32489|yto-ca
174 32638|yto-ca
174 32934|par-fr,mad-es,sto-se
174 33028|yto-ca
174 3320|fra-de
174 33438|sto-se
174 33763|lis-pt
174 33811|fra-de
174 33828|fra-de
174 33901|waw-pl
174 34219|fra-de
174 34270|lon-gb
174 34572|par-fr
174 34660|lon-gb
174 34748|zag-hr
174 34949|par-fr
174 34967|lon-gb
174 34971|buc-ro
174 35283|par-fr
174 35699|mad-es
174 35826|lon-gb
174 36792|yto-ca
174 36925|mad-es
174 37054|lon-gb
174 37451|lis-pt
174 37674|lon-gb
174 37678|lon-gb
174 38193|fra-de
174 39020|mad-es
174 39180|par-fr
174 39295|lon-gb
174 393676|yto-ca
174 39392|prg-cz
174 394229|yto-ca
174 39572|amstnl-nl
174 39591|amstnl-nl
174 39628|bru-be
174 39780|mad-es
174 39832|amstnl-nl
174 41489|amstnl-nl
174 41524|par-fr
174 42020|par-fr
174 42220|mad-es
174 42652|fra-de
174 42695|cph-dk
174 42755|amstnl-nl
174 43160|mad-es
174 43383|lon-gb
174 43519|lon-gb,zrh-ch
174 43578|mad-es
174 43623|fra-de
174 43833|mad-es
174 43930|par-fr
174 44141|par-fr
174 44150|lon-gb
174 44527|par-fr
174 44611|lon-gb
174 44943|fra-de
174 44981|lon-gb
174 47179|amstnl-nl
174 47223|waw-pl
174 47443|lon-gb
174 47956|fra-de
174 47999|lon-gb
174 48260|bru-be
174 48305|lon-gb
174 48344|fra-de
174 48518|par-fr
174 48659|waw-pl
174 49292|sto-se
174 49367|mil-it
174 49435|fra-de
174 49463|par-fr
174 49835|mad-es
174 50083|bru-be
174 50234|par-fr
174 50316|mil-it
174 50446|par-fr
174 50632|lon-gb
174 50702|par-fr
174 50746|lon-gb
174 51007|mad-es
174 51248|prg-cz
174 51297|lon-gb
174 51432|cph-dk
174 51765|hel-fi
174 51790|lju-si
174 51863|waw-pl
174 51931|waw-pl
174 51978|fra-de
174 53612|yto-ca
174 53800|yto-ca
174 54103|yto-ca
174 54113|sto-se,fra-de,amstnl-nl,mad-es,par-fr,yto-ca,lon-gb
174 54235|yto-ca
174 5511|fra-de
174 56611|amstnl-nl
174 56638|lon-gb,dub-ie
174 56813|fra-de
174 56910|ath-gr
174 56934|mad-es
174 59469|cph-dk
174 59497|iev-ua
174 59521|sto-se
174 59675|fra-de
174 59778|lon-gb
174 59908|mad-es
174 60019|mil-it
174 60068|sto-se,vie-at,amstnl-nl,prg-cz
174 60157|lon-gb
174 60194|lon-gb
174 60341|amstnl-nl
174 60396|sto-se
174 60458|mad-es
174 60532|par-fr
174 60626|fra-de
174 60630|par-fr
174 60686|par-fr
174 60688|lon-gb
174 60735|bru-be
174 60758|lon-gb
174 60981|lon-gb
174 61025|par-fr
174 61044|amstnl-nl
174 61098|zrh-ch
174 61160|mil-it
174 61198|par-fr
174 61317|fra-de
174 61969|fra-de
174 62160|prg-cz
174 62341|fra-de
174 63008|tyo-jp
174 64049|lon-gb
174 64396|zrh-ch
174 64474|lon-gb
174 6461|amstnl-nl
174 6503|mex-mx
174 6666|fra-de
174 6667|fra-de
174 6697|waw-pl
174 6713|par-fr
174 6762|fra-de
174 702|fra-de
174 7529|tyo-jp
174 7754|amstnl-nl
174 8280|ath-gr
174 8311|mad-es
174 8452|par-fr
174 8544|fra-de
174 8683|zrh-ch
174 8895|fra-de
174 8990|bud-hu
174 9009|lon-gb
174 9070|sof-bg
1836 6776|zrh-ch
19151 13645|mia-us
19151 13703|atl-us
19151 13706|cbm-us
19151 20278|chi-us
19151 20448|bna-us
19151 36383|mia-us
19151 40015|ashburn-us
19151 63271|mia-us
19151 6536|cbm-us
20448 15008|bna-us
20485 12494|rov-ru
20485 12685|tjm-ru
20485 12688|ikt-ru
20485 13002|rvh-ru
20485 13178|voz-ru
20485 15774|svx-ru
20485 15913|vvo-ru
20485 15974|rtw-ru,vog-ru
20485 16285|pee-ru,sgc-ru,tjm-ru,svx-ru
20485 197078|iar-ru
20485 199524|kja-ru
20485 199728|khv-ru
20485 202659|kgd-ru
20485 207186|kgd-ru
20485 20870|krr-ru,rov-ru
20485 21127|ovb-ru,bax-ru
20485 21191|iar-ru,scw-ru
20485 24626|goj-ru
20485 24955|kuf-ru
20485 25592|iar-ru
20485 28745|cek-ru
20485 28769|ovb-ru,kja-ru
20485 29182|ikt-ru
20485 31257|kja-ru
20485 31566|kzn-ru
20485 31692|pee-ru
20485 33991|kja-ru
20485 34139|mow-ru
20485 34676|rov-ru
20485 35000|rvh-ru
20485 38917|iar-ru
20485 39586|ovb-ru
20485 41446|rvh-ru
20485 41722|rvh-ru
20485 42358|goj-ru
20485 42368|voz-ru
20485 42387|rvh-ru
20485 42574|ikt-ru
20485 43782|uly-ru
20485 44724|vvo-ru
20485 44775|rov-ru
20485 44941|vog-ru
20485 45005|iar-ru
20485 47165|oms-ru
20485 47438|rvh-ru
20485 47551|vog-ru
20485 48034|krr-ru
20485 48043|cek-ru
20485 48524|svx-ru
20485 48858|ovb-ru
20485 48909|cek-ru
20485 49558|iar-ru
20485 50453|rvh-ru
20485 50596|mow-ru
20485 50923|tjm-ru
20485 51028|tjm-ru
20485 51034|ikt-ru
20485 51200|rov-ru
20485 56463|khv-ru
20485 56969|ikt-ru
20485 57079|uly-ru
20485 57401|svx-ru
20485 57766|vog-ru
20485 58314|krr-ru
20485 59533|pee-ru
20485 59730|rvh-ru
20485 60591|voz-ru
20485 60651|kzn-ru
20485 60879|kja-ru
20485 62040|rov-ru
20485 6856|voz-ru
20485 8249|kuf-ru
20485 8749|khv-ru
20485 8774|kgd-ru
20764 12555|rvh-ru
20764 12654|mow-ru
20764 16083|mow-ru
20764 199860|rvh-ru
20764 200161|mow-ru
20764 25227|mow-ru
20764 30877|rvh-ru
20764 31376|rvh-ru
20764 35000|rvh-ru
20764 35631|rvh-ru
20764 41337|rvh-ru
20764 43317|rvh-ru
20764 44053|mow-ru
20764 47747|mow-ru
20764 48096|mow-ru
20764 48347|mow-ru
20764 49641|goj-ru
20764 51093|rvh-ru
20764 51178|rvh-ru
20764 56534|rvh-ru
20764 56630|mow-ru
20764 59796|mow-ru
20764 60162|mow-ru
20764 60252|rvh-ru
20764 60299|mow-ru
20764 60388|mow-ru
20764 8997|rvh-ru
21320 12046|mil-it
21320 12687|poz-pl
