1239 10405|mkc-us
6453 45147|sin-sg
6453 45629|sin-sg
6453 45758|sjc-us
6453 45899|lax-us
6453 4637|tyo-jp
6453 4648|pao-us
6453 4651|lon-gb
6453 4761|sin-sg
6453 4775|sin-sg
6453 47902|mil-it
6453 4800|sin-sg
6453 48159|fra-de
6453 4818|sin-sg
6453 48328|fra-de
6453 49349|lis-pt
6453 49544|tyo-jp
6453 50618|par-fr
6453 51088|amstnl-nl
6453 51407|fra-de
6453 51551|lon-gb
6453 52127|par-fr
6453 53334|lax-us,sin-sg,amstnl-nl,ashburn-us
6453 5392|mil-it
6453 54104|tyo-jp
6453 55002|fra-de,sin-sg,ashburn-us,sjc-us
6453 5511|fra-de
6453 55644|lon-gb,sin-sg
6453 55720|sin-sg
6453 56274|sin-sg
6453 56308|sin-sg
6453 57468|par-fr
6453 5769|ymq-ca
6453 577|yvr-ca,yto-ca,ymq-ca
6453 57866|amstnl-nl
6453 59253|sin-sg
6453 60171|lis-pt
6453 603|yto-ca
6453 60626|amstnl-nl,mia-us
6453 60669|fra-de
6453 61266|fra-de
6453 63003|ymq-ca
6453 63916|sin-sg
6453 63949|lon-gb,sin-sg,jfk-us,fra-de
6453 6421|lon-gb
6453 6461|amstnl-nl
6453 6758|mil-it
6453 6762|amstnl-nl
6453 6774|bru-be
6453 6910|fra-de
6453 7018|jfk-us
6453 701|jfk-us
6453 702|amstnl-nl
6453 714|tyo-jp,sin-sg
6453 7545|sjc-us,tyo-jp
6453 7568|sin-sg
6453 7632|sin-sg
6453 7713|sin-sg
6453 7738|jfk-us
6453 7843|ashburn-us
6453 812|lke-us,jfk-us
6453 8151|lax-us,sac-us
6453 8304|par-fr
6453 8346|lon-gb
6453 8374|fra-de
6453 8426|bcn-es,fra-de,lis-pt,amstnl-nl
6453 8551|fra-de
6453 8677|par-fr
6453 8697|lon-gb
6453 8804|fra-de
6453 9002|fra-de
6453 9009|sin-sg
6453 9137|mil-it
6453 9299|sin-sg,lke-us,pao-us
6453 9318|sac-us
6453 9498|lon-gb
6453 9534|sin-sg
6453 9542|sin-sg
6453 9829|lon-gb,lax-us,sin-sg
6667 16302|helsinki-fi
6667 24751|helsinki-fi
6667 29154|helsinki-fi
6667 29432|helsinki-fi
6667 34263|helsinki-fi
6667 34387|helsinki-fi
6667 39699|helsinki-fi
6667 42343|helsinki-fi
6667 43382|helsinki-fi
6667 719|helsinki-fi
6667 790|helsinki-fi
6762 10481|bue-ar
6762 11014|bue-ar
6762 11556|mia-us
6762 1241|ath-gr
6762 12961|buh-ro
6762 13172|sof-bg
6762 13249|fra-de
6762 132602|mrs-fr
6762 132837|sin-sg
6762 13335|mrs-fr,mia-us,sopaolo-br,bue-ar,rio-br,mil-it,pao-us,par-fr,buh-ro,lax-us,vie-at,ath-gr
6762 13443|mil-it
6762 14259|scl-cl
6762 14413|sopaolo-br
6762 15133|mia-us,sopaolo-br,fra-de,mil-it,par-fr,lon-gb,ashburn-us,jfk-us
6762 1547|fra-de
6762 15557|par-fr
6762 15706|cta-it
6762 15964|palermo-it
6762 16509|sopaolo-br,mil-it,mrs-fr,rio-br,mia-us
6762 16735|sopaolo-br
6762 1680|fra-de
6762 17222|rio-br
6762 17557|palermo-it
6762 19037|bue-ar
6762 198477|ath-gr
6762 20207|bue-ar
6762 202865|rom-it
6762 20836|mil-it
6762 20940|mrs-fr,fra-de,rom-it,par-fr,lon-gb,mil-it
6762 21056|mil-it
6762 22356|sopaolo-br
6762 22822|mrs-fr
6762 23550|mia-us
6762 25145|ist-tr
6762 25472|ath-gr
6762 25933|sopaolo-br,rio-br
6762 260|amstnl-nl,jfk-us
6762 262248|pac-pa
6762 262253|lima-pe
6762 262354|sopaolo-br
6762 262402|sopaolo-br
6762 262589|sopaolo-br,rio-br
6762 263047|rio-br
6762 263655|for-br
6762 263665|for-br
6762 263692|lima-pe
6762 264144|sopaolo-br
6762 26615|sopaolo-br,for-br,rio-br
6762 27747|bue-ar
6762 27984|bue-ar
6762 27986|scl-cl
6762 28220|for-br
6762 28283|sopaolo-br
6762 28306|sopaolo-br
6762 28310|for-br
6762 28329|sopaolo-br,rio-br
6762 28338|rio-br
6762 28366|rio-br
6762 2852|prg-cz
6762 28663|sopaolo-br,rio-br
6762 28669|sopaolo-br
6762 29049|sof-bg
6762 29449|mil-it
6762 31463|lon-gb
6762 32098|dal-us
6762 3216|fra-de
6762 3223|ashburn-us
6762 3269|mil-it
6762 32934|sopaolo-br,par-fr,bue-ar,scl-cl
6762 3302|mil-it
6762 3329|ath-gr
6762 34164|par-fr,fra-de,amstnl-nl,mil-it,lon-gb
6762 34347|mil-it
6762 34594|vie-at
6762 36040|mil-it
6762 36408|palermo-it
6762 36947|palermo-it
6762 36992|palermo-it
6762 38040|sin-sg
6762 38193|fra-de
6762 39386|palermo-it
6762 39836|fra-de
6762 42020|cta-it
6762 42313|mil-it,ath-gr
6762 42456|fra-de
6762 42473|bue-ar,scl-cl,palermo-it,mil-it
6762 43061|vie-at
6762 43515|lon-gb
6762 43727|fra-de
6762 43996|amstnl-nl
6762 44306|vie-at
6762 44901|sof-bg
6762 45430|sin-sg
6762 45960|sin-sg
6762 47408|mil-it
6762 47794|palermo-it
6762 47887|fra-de
6762 50215|palermo-it
6762 51269|par-fr
6762 52468|pac-pa
6762 52863|sopaolo-br
6762 52965|for-br
6762 53037|sopaolo-br,rio-br
6762 53059|sopaolo-br
6762 53120|rio-br
6762 5391|mil-it
6762 55330|cta-it
6762 5602|mil-it
6762 56910|ath-gr
6762 57111|mil-it
6762 59930|mia-us
6762 60032|par-fr
6762 60476|amstnl-nl
6762 60800|lon-gb
6762 61568|for-br
6762 62041|amstnl-nl
6762 6866|ath-gr
6762 6910|buh-ro
6762 7303|bue-ar
6762 7713|sin-sg
6762 7738|jfk-us
6762 7979|amstnl-nl
6762 8400|fra-de
6762 8402|fra-de
6762 8452|palermo-it,mil-it
6762 8529|amstnl-nl
6762 8612|mil-it
6762 8697|mrs-fr
6762 8781|mrs-fr
6762 8895|palermo-it,mrs-fr
6762 8953|buh-ro
6762 8966|palermo-it,cta-it
6762 9146|sof-bg
6762 9155|mct-om
6762 9829|jfk-us
7018 11133|mke-us,msn-us,mia-us,lit-us,cmh-us
7018 13893|ord-us
7018 14299|mci-us
7018 14381|ord-us
7018 16793|lit-us
7018 19510|mke-us
7018 20057|atl-us
7018 2386|mci-us,lit-us
7018 26305|ord-us
7018 26777|cmh-us
7018 4466|cmh-us
7575 24390|suva-fj
8283 10310|amstnl-nl
8283 1103|amstnl-nl
8283 112|amstnl-nl
8283 1140|amstnl-nl
8283 1200|amstnl-nl
8283 12041|amstnl-nl
8283 12301|amstnl-nl
8283 12306|amstnl-nl
8283 12399|amstnl-nl
8283 1239|amstnl-nl
8283 12414|amstnl-nl
8283 12552|amstnl-nl
8283 1257|amstnl-nl
8283 12713|amstnl-nl
8283 1273|amstnl-nl
8283 12759|amstnl-nl
8283 12859|amstnl-nl
8283 12871|amstnl-nl
8283 12876|amstnl-nl
8283 12931|amstnl-nl
8283 13030|amstnl-nl
8283 13101|amstnl-nl
8283 13335|amstnl-nl
8283 14413|amstnl-nl
8283 15169|amstnl-nl
8283 15435|amstnl-nl
8283 15542|amstnl-nl
8283 15623|amstnl-nl
8283 15693|amstnl-nl
8283 16265|amstnl-nl
8283 16276|amstnl-nl
8283 16298|amstnl-nl
8283 16347|amstnl-nl
8283 16509|amstnl-nl
8283 1764|amstnl-nl
8283 18106|amstnl-nl
8283 196752|amstnl-nl
8283 197000|amstnl-nl
8283 197219|amstnl-nl
8283 197595|amstnl-nl
8283 197731|amstnl-nl
8283 198203|amstnl-nl
8283 198435|amstnl-nl
8283 199939|amstnl-nl
8283 199947|amstnl-nl
8283 200023|amstnl-nl
8283 20080|amstnl-nl
8283 201791|amstnl-nl
8283 202120|amstnl-nl
8283 202932|amstnl-nl
8283 203319|amstnl-nl
8283 20546|amstnl-nl
8283 20562|amstnl-nl
8283 20621|amstnl-nl
8283 20804|amstnl-nl
8283 20857|amstnl-nl
8283 20932|amstnl-nl
8283 20940|amstnl-nl
8283 20953|amstnl-nl
8283 21013|amstnl-nl
8283 2119|amstnl-nl
8283 21263|amstnl-nl
8283 23106|amstnl-nl
8283 23393|amstnl-nl
8283 24482|amstnl-nl
8283 2484|amstnl-nl
8283 24875|amstnl-nl
8283 24904|amstnl-nl
8283 24961|amstnl-nl
8283 25091|amstnl-nl
8283 25152|amstnl-nl
8283 25178|amstnl-nl
8283 25291|amstnl-nl
8283 25369|amstnl-nl
8283 25596|amstnl-nl
8283 2603|amstnl-nl
8283 260|amstnl-nl
8283 2635|amstnl-nl
8283 2828|amstnl-nl
8283 2852|amstnl-nl
8283 286|amstnl-nl
8283 28876|amstnl-nl
8283 2906|amstnl-nl
8283 29119|amstnl-nl
8283 2914|amstnl-nl
8283 29169|amstnl-nl
8283 29396|amstnl-nl
8283 29467|amstnl-nl
8283 30132|amstnl-nl
8283 30781|amstnl-nl
8283 30844|amstnl-nl
8283 30870|amstnl-nl
8283 31019|amstnl-nl
8283 31042|amstnl-nl
8283 31078|amstnl-nl
8283 31122|amstnl-nl
8283 31334|amstnl-nl
8283 31477|amstnl-nl
8283 31500|amstnl-nl
8283 31595|amstnl-nl
8283 3257|amstnl-nl
8283 3265|amstnl-nl
8283 3267|amstnl-nl
8283 32934|amstnl-nl
8283 3303|amstnl-nl
8283 3320|amstnl-nl
8283 3333|amstnl-nl
8283 3356|amstnl-nl
8283 33891|amstnl-nl
8283 34087|amstnl-nl
8283 34288|amstnl-nl
8283 3491|amstnl-nl
8283 34968|amstnl-nl
8283 35332|amstnl-nl
8283 36692|amstnl-nl
8283 37179|amstnl-nl
8283 37271|amstnl-nl
8283 37662|amstnl-nl
8283 3856|amstnl-nl
8283 38930|amstnl-nl
8283 3910|amstnl-nl
8283 39309|amstnl-nl
8283 39386|amstnl-nl
8283 41692|amstnl-nl
8283 41913|amstnl-nl
8283 42093|amstnl-nl
8283 42473|amstnl-nl
8283 42541|amstnl-nl
8283 42841|amstnl-nl
8283 42|amstnl-nl
8283 43190|amstnl-nl
8283 43350|amstnl-nl
8283 43366|amstnl-nl
8283 43821|amstnl-nl
8283 43995|amstnl-nl
8283 43996|amstnl-nl
8283 44654|amstnl-nl
8283 46489|amstnl-nl
8283 47232|amstnl-nl
8283 47447|amstnl-nl
8283 48200|amstnl-nl
8283 48519|amstnl-nl
8283 48526|amstnl-nl
8283 48635|amstnl-nl
8283 49375|amstnl-nl
8283 49463|amstnl-nl
8283 49544|amstnl-nl
8283 49605|amstnl-nl
8283 49685|amstnl-nl
8283 50266|amstnl-nl
8283 50304|amstnl-nl
8283 50343|amstnl-nl
8283 50673|amstnl-nl
8283 50763|amstnl-nl
8283 51088|amstnl-nl
8283 5400|amstnl-nl
8283 54113|amstnl-nl
8283 5524|amstnl-nl
8283 559|amstnl-nl
8283 56647|amstnl-nl
8283 57436|amstnl-nl
8283 57724|amstnl-nl
8283 57866|amstnl-nl
8283 58511|amstnl-nl
8283 59318|amstnl-nl
8283 59605|amstnl-nl
8283 60294|amstnl-nl
8283 60868|amstnl-nl
8283 61955|amstnl-nl
8283 62088|amstnl-nl
8283 6453|amstnl-nl
8283 6461|amstnl-nl
8283 6677|amstnl-nl
8283 6724|amstnl-nl
8283 6762|amstnl-nl
8283 6774|amstnl-nl
8283 6805|amstnl-nl
8283 6830|amstnl-nl
8283 6939|amstnl-nl
8283 714|amstnl-nl
8283 8075|amstnl-nl
8283 8218|amstnl-nl
8283 8359|amstnl-nl
8283 8365|amstnl-nl
8283 8426|amstnl-nl
8283 8455|amstnl-nl
8283 8560|amstnl-nl
8283 8608|amstnl-nl
8283 8657|amstnl-nl
8283 8767|amstnl-nl
8283 8928|amstnl-nl
8283 9143|amstnl-nl
8283 9150|amstnl-nl
8283 9329|amstnl-nl
8359 12335|mow-ru
8359 12668|svx-ru
8359 12695|mow-ru
8359 13055|vgd-ru
8359 15835|mow-ru
8359 199524|svx-ru,mow-ru,khv-ru
8359 199599|mow-ru
8359 201851|mow-ru
8359 203674|spb-ru
8359 20895|krr-ru
8359 24638|mow-ru
8359 25086|svx-ru
8359 25535|ovb-ru
8359 28968|mow-ru
8359 29072|ovb-ru
8359 31059|mow-ru
8359 3327|mow-ru
8359 39001|Izhevsk-ru
8359 41268|tbw-ru
8359 41722|spb-ru
8359 41938|Kazan-ru
8359 42187|kej-ru
8359 42277|urs-ru
8359 43038|lnx-ru
8359 44030|spb-ru
8359 44267|kja-ru
8359 44677|kvx-ru
8359 44895|lnx-ru
8359 47586|krr-ru
8359 47764|mow-ru
8359 48076|spb-ru
8359 56868|Penza-ru
8359 56969|ikt-ru
8359 57079|uly-ru
8359 57629|krr-ru,vvo-ru,svx-ru,spb-ru,Kazan-ru
8359 57681|mow-ru
8359 59707|mow-ru
8359 60357|spb-ru
8359 61400|mow-ru
8359 7979|mow-ru
8359 8342|mow-ru
8359 8470|mow-ru
8368 44806|bru-be
8371 200479|amstnl-nl
8820 15987|amstnl-nl
8954 20144|amstnl-nl
8954 8935|amstnl-nl
9002 1120|vie-at
9002 12303|bud-hu
9002 1248|amstnl-nl
9002 12576|lon-gb
9002 12594|bud-hu
9002 12659|helsinki-fi
9002 12670|par-fr
9002 12678|fra-de
9002 12693|fra-de
9002 13188|iev-ua
9002 137|mil-it
9002 14340|fra-de
9002 15133|fra-de,sto-se
9002 15290|nyc-us
9002 15692|lon-gb
9002 15830|lon-gb
9002 16004|mil-it
9002 16086|sto-se
9002 16174|lon-gb
9002 1653|sto-se
9002 16591|nyc-us
9002 1853|vie-at
9002 19679|lon-gb
9002 197071|fra-de
9002 197248|bud-hu
9002 197426|lon-gb
9002 197439|zrh-ch
9002 198930|fra-de
9002 199396|par-fr
9002 200000|iev-ua
9002 200780|par-fr
9002 201675|par-fr
9002 202020|lon-gb
9002 202023|fra-de
9002 202069|par-fr
9002 202885|fra-de
9002 203507|fra-de
9002 204142|par-fr
9002 20546|fra-de
9002 20633|fra-de
9002 20676|fra-de
9002 20845|bud-hu
9002 20849|fra-de
9002 20860|lon-gb
9002 20940|nyc-us,sto-se,fra-de,iev-ua,par-fr,lon-gb,vie-at
9002 21385|vie-at
9002 21473|fra-de
9002 24971|prg-cz
9002 2497|lon-gb
9002 24992|vie-at
9002 25061|lon-gb
9002 25133|iev-ua
9002 25255|vie-at
9002 25279|fra-de
9002 25460|lon-gb
9002 25467|vie-at
9002 25577|lon-gb
9002 27970|nyc-us
9002 2856|lon-gb
9002 28725|fra-de
9002 2874|sto-se
9002 2906|nyc-us,sto-se,fra-de,par-fr,lon-gb,vie-at,zrh-ch
9002 2914|fra-de
9002 29278|bud-hu
9002 29632|fra-de,iev-ua
9002 29655|zrh-ch
9002 29791|nyc-us
9002 30721|vno-lt
9002 30836|bud-hu
9002 30933|lon-gb
9002 3255|iev-ua
9002 32787|lon-gb
9002 33182|lon-gb
9002 3356|amstnl-nl
9002 34790|lon-gb
9002 35551|lon-gb
9002 35805|fra-de
9002 37002|par-fr
9002 38719|lon-gb
9002 39063|par-fr,fra-de,zrh-ch,lon-gb
9002 39600|par-fr
9002 39869|waw-pl
9002 4004|lon-gb
9002 40676|lon-gb
9002 41018|iev-ua
9002 41165|iev-ua
9002 41230|lon-gb
9002 42385|fra-de
9002 42456|fra-de
9002 42473|lon-gb,fra-de
9002 4258|nyc-us
9002 42689|lon-gb
9002 42708|sto-se
9002 42864|bud-hu
9002 42927|waw-pl
9002 43100|par-fr
9002 43384|iev-ua
9002 43586|iev-ua
9002 43621|zrh-ch
9002 43668|iev-ua
9002 43928|bud-hu
9002 45017|iev-ua
9002 47116|bud-hu
9002 47169|fra-de,bud-hu
9002 47381|bud-hu
9002 47608|par-fr
9002 47631|lon-gb
9002 48296|par-fr
9002 48297|fra-de
9002 48403|helsinki-fi
9002 48484|fra-de
9002 50031|bud-hu
9002 50533|fra-de
9002 50606|waw-pl
9002 50629|fra-de
9002 51167|fra-de
9002 51430|amstnl-nl
9002 51852|zrh-ch
9002 54113|nyc-us,fra-de
9002 5413|amstnl-nl
9002 5432|bru-be
9002 54825|nyc-us
9002 5507|bud-hu
9002 5521|fra-de
9002 56357|fra-de
9002 56722|amstnl-nl
9002 57031|waw-pl
9002 57169|vie-at
9002 57468|par-fr
9002 58208|par-fr
9002 60032|par-fr
9002 60522|fra-de
9002 61205|par-fr
9002 61272|vno-lt
9002 61307|tll-ee
9002 62179|vno-lt
9002 62214|bud-hu
9002 62217|lon-gb
9002 62407|iev-ua
9002 64478|bru-be
9002 680|fra-de
9002 714|lon-gb,sto-se,fra-de
9002 7363|nyc-us
9002 786|lon-gb
9002 8403|lon-gb
9002 852|nyc-us
9002 8544|lon-gb
9002 8551|lon-gb
9002 8717|fra-de
9002 8990|bud-hu
9002 9178|lon-gb
