13030 8681|lon-gb-thel,lon-gb_linx-juniper
13030 8717|fra-de
13030 8758|glattbrugg-ch
13030 8767|fra-de
13030 8781|lon-gb-thel,lon-gb_linx-juniper
13030 8804|fra-de
13030 8823|fra-de
13030 8839|par-fr
13030 8879|fra-de
13030 8897|lon-gb-thel,lon-gb_linx-juniper
13030 8916|lon-gb-thel
13030 8928|fra-de
13030 8932|lon-gb-thel,lon-gb_linx-juniper
13030 8943|lon-gb-thel,lon-gb_linx-juniper
13030 8966|fra-de
13030 9002|lon-gb-thel,lon-gb_linx-juniper
13030 9009|par-fr,lon-gb-thel,lon-gb_linx-juniper,amstnl-nl,fra-de
13030 9022|fra-de
13030 9031|lon-gb-thel,lon-gb_linx-juniper
13030 9044|bsl-ch
13030 9050|fra-de
13030 9063|fra-de
13030 9108|glattbrugg-ch
13030 9120|cph-dk
13030 9145|fra-de
13030 9153|lon-gb-thel,lon-gb_linx-juniper
13030 9178|vie-at
13030 9246|lax-us
13030 9304|lon-gb-thel,lon-gb_linx-juniper,jfk-us-thny
13030 9329|fra-de
13030 9498|lon-gb-thel,lon-gb_linx-juniper,jfk-us-thny
174 11798|yto-ca
174 12222|yto-ca
174 12337|fra-de
174 12409|par-fr
174 12533|mil-it
174 12942|bru-be
174 13284|mil-it
174 13319|yto-ca
174 133530|dub-ie
174 134397|sto-se
174 14870|dub-ie
174 15583|bru-be
174 15695|mil-it
174 15830|dub-ie
174 16022|ath-gr
174 16186|osl-no
174 16253|sto-se
174 16531|mex-mx
174 17400|lon-gb
174 1886|zag-hr
174 19117|yto-ca
174 196689|par-fr
174 196745|lon-gb
174 196760|bru-be
174 197077|mad-es
174 198082|lon-gb
174 198156|waw-pl
174 198213|lju-si
174 198725|prg-cz
174 199270|fra-de
174 199290|mad-es
174 199385|lon-gb
174 199391|amstnl-nl
174 199625|fra-de
174 199783|par-fr
174 199843|amstnl-nl
174 200165|mad-es
174 200552|lon-gb
174 200623|lon-gb
174 200999|waw-pl
174 201050|bru-be
174 201127|mil-it
174 201196|fra-de
174 201536|lon-gb
